targname,matched_snname,cubename,rasn,decsn,sntype,fits_subfolder,fits_filename,fits_relpath,redshift,redshift_source
ASASSN-13AN-HOST,SN2013da,ASASSN-13an,13:45:36.209,-07:19:32.59,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g01010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g01010_drc.fits,0.024245,corez_zobs
ASASSN-13AR-HOST,SN2013dl,ASASSN-13ar,01:18:41.760,-07:26:39.70,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo2v010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo2v010_drc.fits,0.017731,corez_zobs
ASASSN-13BB-HOST,SN2013ef,ASASSN-13bb,01:55:20.710,+06:36:35.32,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo3b010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo3b010_drc.fits,0.017251,corez_zobs
ASASSN-13CC-HOST,SN2013ex,ASASSN-13cc,05:32:46.620,-14:02:45.38,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo01010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo01010_drc.fits,0.010242,corez_zobs
ASASSN-13CH-HOST,ASASSN-13ch,ASASSN-13ch,16:16:34.06,-00:35:27.38,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0l010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0l010_drc.fits,0.016468,corez_zobs
ASASSN-13CJ-HOST,ASASSN-13cj,ASASSN-13cj,16:17:11.01,+04:33:14.72,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0m010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0m010_drc.fits,0.016464,corez_zobs
ASASSN-13CP-HOST,ASASSN-13cp,ASASSN-13cp,15:33:49.236,+21:08:21.87,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo71010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo71010_drc.fits,0.023508,corez_zobs
ASASSN-13CU-HOST,ASASSN-13cu,ASASSN-13cu,00:40:10.14,-10:26:25.90,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0n010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0n010_drc.fits,0.02718,corez_zobs
SN2008HV-HOST,SN2008hv,ASASSN-13dd,09:07:34.061,+03:23:32.10,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo1v010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo1v010_drc.fits,0.012646,corez_zobs
ASASSN-13DM-HOST,SN2013hk,ASASSN-13dm,03:02:10.850,+15:55:38.78,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0o010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0o010_drc.fits,0.017004,corez_zobs
ASASSN-14BA-HOST,ASASSN-14ba,ASASSN-14ba,10:21:31.90,+08:24:21.12,Ia-91T,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0p010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0p010_drc.fits,0.032646,corez_zobs
ASASSN-14CU-HOST,ASASSN-14cu,ASASSN-14cu,12:47:02.68,-24:14:41.30,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo50010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo50010_drc.fits,0.024727,corez_zobs
ASASSN-14DB-HOST,ASASSN-14db,ASASSN-14db,22:02:01.85,-70:02:26.19,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo0p010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo0p010_drc.fits,0.037378,corez_zobs
ASASSN-14DD-HOST,ASASSN-14dd,ASASSN-14dd,07:45:14.38,-71:24:14.04,Ibn,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0q010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0q010_drc.fits,0.017842,corez_zobs
ASASSN-14DZ-HOST,ASASSN-14dz,ASASSN-14dz,15:05:54.522,+12:44:43.33,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g23010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g23010_drc.fits,0.02232,corez_zobs
ASASSN-14FA-HOST,ASASSN-14fa,ASASSN-14fa,02:52:23.06,-31:49:18.00,Ia,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST,if0g0r010_drc.fits,data/hst_programs/17179/drc/MAST_2025-08-10T09_44_38.398Z/HST/if0g0r010_drc.fits,0.022315,corez_zobs
ASASSN-14HR-HOST,ASASSN-14hr,ASASSN-14hr,01:50:41.27,-14:31:06.37,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo03010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo03010_drc.fits,0.033551,corez_zobs
ASASSN-14HU-HOST,ASASSN-14hu,ASASSN-14hu,06:43:26.92,-69:38:14.70,Ia-91T,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo04010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo04010_drc.fits,0.021634,corez_zobs
ASASSN14IG-HOST,ASASSN-14ig,ASASSN-14ig,01:16:04.95,-61:37:16.70,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo2p010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo2p010_drc.fits,0.029115,corez_zobs
ASASSN-14JC-HOST,ASASSN-14jc,ASASSN-14jc,07:35:35.29,-62:46:12.64,Ia,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST,iepo05010_drc.fits,data/hst_programs/16741/drc/MAST_2025-09-30T10_42_02.034Z/HST/iepo05010_drc.fits,0.011124,corez_zobs
